_natured (forming compound adjs)	adj\nစိတ္ သေဘာထားရိွေသာ။ good -natuerd.
grandparents	n[pl]\nအဘိုးအဘြားမ်ား
grandpas	n[pl]\nအဖိုးမ်ား
grandson	n\nေျမး
grandsons	n[pl]\nေျမးမ်ား
grandstand	n\nအထူးတန္း
grange	n\nသီးႏံွသိုေလွာင္ေရး။ေမြးျမဴေရးႏွင့္အေဆာက္အအံုမ်ားႏွင့္ ေက်းလက္ေနအိမ္။
granite	n\nအလြန္မာသည့္ေက်ာက္တံုး။
granny,grannie	n\nအဘြား။
grant	vt\nခြင့္ျပဳသည္။ သေဘာတူသည္။
grant	n\nခြင့္ျပဳသည့္အရာ။
grant	v\nခြင့္ျပဳ
granted	v[pt]\nခြင့္ျပဳခဲ့
granted	v[pp]\nခြင့္ျပဳခဲ့ျပီး
granting	v[ing]\nခြင့္ျပဳေန
grantor	n\nအာမခံ ပုဂၢိဳလ္
grants	n[pl]\nေထာက္ပံေၾကးမ်ား
grants	v[sg]\nခြင့္ျပဳ
granular	adj\nအျဖဳန္းအေစ့ဆန္ေသာ။ ၾကမ္းတမ္းေသာ။ၾကမ္းေထာ္ေသာ။
granulated sugar	n\nအေစ့လိုက္၊အပြင့္လိုက္သၾကား။
granule	n\nအေစ့အပြင့္။
grape	n\nစပ်စ္သီး။
grape	n[pl]\nေထာက္ပံေၾကး
grape vine	n\nစပ်စ္ႏြယ္ပင္
grapefruit	n\nဂရိပ္ဖရု။ေရွာက္ခါးသီးၾကီး။
grapes	n\nစပ်စ္သီးမ်ား
grapeshot	n\nေရွးအေျမာက္တြင္ထည့္ပစ္ရေသာက်ည္ေစ့အစု။
grapevine	n\nစပ်စ္ပင္။ တစ္ဆင့္စကား။
graph	n\nဇယား။ပံုျပမ်ဉ္း။ဂရပ္။ အရြယ္တူေလးေထာင့္ဇယားကြက္မ်ားပါေသာစာရြက္။ဂရပ္စာရြက္။ စာသို႔ပံုဟုအဓိပၸါယ္ရေသာေနာက္ဆက္။ ေၾကးနန္း၊ငလ်င္မွတ္စက္စေသာေရးသည့္စက္၊မွတ္သည့္စက္။ ဓာတ္ပံု၊ပထဝီဝင္စသည္ဆိုင္ရာ။
graphic	adj\nပံုႏိွပ္ျခင္း၊ေရးျခင္း၊ပံုဆဲြျခင္းဆိုင္ရာအတတ္ပညာ။ ကြက္ကြက္ကြင္းကြင္းေပၚလြင္ေသာ။ပီျပင္ေသာ။ခေရေစ့တြင္းက်။အေသးစိတ္က်ေသာ။
graphically	adv\nကြက္ကြက္ကြင္းကြင္း။ပီပီျပင္ျပင္။ ရွင္းရွင္းလင္းလင္း။အေသးစိတ္။
graphics	n\nစာအုပ္၊ရုပ္သံစသည္အတြက္ဒီဇိုင္း၊ပန္းခ်ီ၊အရုပ္ကားစသည္။
graphite	n\nခဲတံခဲ။ဂရပ္ဖိုက္။ခဲနက္။ အႏုပညာရပ္တစ္ခု၊သိပၸံနည္းက်ေလ့လာမႈတစ္မ်ိဳးကိုရည္ညႊန္းေသာစကား။အေရး၊အဆဲြရုပ္ျပပညာရပ္တို႔ႏွင့္တဲြဖက္သံုးေလ့ရိွေသာစကား။
graphs	n[pl]\nဒီဇိုင္းမ်ား
grapnel	n\nခ်ိတ္ရန္၊ဆဲြရန္အဖ်ားတြင္သံခ်ိတ္မ်ားပါေသာၾကိဳး။ေမွ်ာ႔ခ်ိတ္။
grapple	v\nလံုးေထြးသတ္ပုတ္သည္။ ျပႆနာႏွင့္နပန္းလံုးသည္။
grasp	v\nဆုပ္ကိုင္သည္။ဖမ္းဆုပ္သည္။အခြင့္အလမ္းစသည္ကိုအမိအရယူသည္၊မလြတ္စတမ္းအသံုးခ်သည္။ နားလည္သေဘာေပါက္သည္။
grasp	n\nဆုပ္ကိုင္ျခင္း။ဖမ္းဆုပ္ျခင္း။လက္တြင္း။လက္ထဲ။ နားလည္သေဘာေပါက္မႈ။
grasping	adj\nေလာဘၾကီးေသာ။
grass	n\nျမက္။ျမက္မ်ိဳးရင္းျဖစ္ေသာေျပာင္း၊ဝါးစသည္။ ျမက္ခင္း။ျမက္ခင္းျပင္။ ေဆးေျခာက္။ဘင္း။ ရဲသတင္းေပး။
grass	v\nျမက္ခင္းထားသည္။ ျမက္ေကြ်းသည္။ ရဲကိုသတင္းေပးသည္၊လက္တို႔သည္။
grass court	n\nျမက္ခင္းျပင္တင္းနစ္ကြင္း။
grass roots	n\nေအာက္ေျခလူတန္းစား။
grass snake	n\nျမက္ေလွ်ာေျမြ။
grass widow	n\nလင္ေယာက္်ားေခတၱအေဝးေရာက္ေနေသာမိန္းမ။
grassed	v[pt]\nျမက္ခင္းထားခဲ့
grassed	v[pp]\nျမက္ခင္းထားခဲ့ျပီး
grasses	n[pl]\nျမက္မ်ား
grasshopper	n\nႏံွေကာင္။
grassing	v[ing]\nျမက္ခင္းထားေန
grassland	n\nျမက္ခင္းျပင္။
grassy	adj\nျမက္ထူေသာ။ျမက္ဖံုးေသာ။
grate	n\nမီးခံသံေဘာင္။
grate	v\nသခြားသီး၊အုန္းသီးစသည္ကိုျခစ္ခံုတြင္ျခစ္သည္။ ပြတ္တိုက္မိျခင္းျဖင့္အသံက်ယ္ေလာင္စြာျမည္သည္။နားမခံသာျဖစ္ေစသည္။
grateful	adj\nေက်းဇူးတင္ေသာ။ေက်းဇူးသိတတ္ေသာ။
gratefully	adv\nေက်းဇူးတင္စြာျဖင့္။
grater	n\nျခစ္ခံု။
gratification	n\nဝမ္းေျမာက္ျခင္း။အားရေက်နပ္ျခင္း။ ေက်နပ္စရာ။ေကာင္းကြက္။
gratify	v\nဝမ္းေျမာက္ေစသည္။ေက်နပ္ေစသည္။ အလိုျဖည့္သည္။
gratifying	adj\nအားရစဖြယ္။
grating	adj\nနားမခံသာျဖစ္ေစေသာ။နားကေလာေသာ။
grating	n\nသံေဘာင္။သံကြန္ရက္။သံဆန္ခါ။
gratis	adj\nအခမဲ့။
gratitude	n\nေက်းဇူး။ေက်းဇူးတင္ျခင္း။
gratuitous	adj\nအေၾကာင္းမဲ့ျဖစ္ေသာ။ေမတၱာရိျဖစ္ေသာ။
gratuitously	adv\nအေၾကာင္းမဲ့။ေမတၱာရိ။
gratuity	n\nသဒၶါေၾကး။ေဘာက္ဆူး။လုပ္သက္ဆု။ ဆုေၾကး။
graunt	adj\nငတ္မြတ္ပိန္ခ်ံဳးေနေသာ။
grave	adj\nေလးနက္ေသာ။အေရးၾကီးေသာ။စိုးရိမ္ဖြယ္ျဖစ္ေသာ။ ေလးေဆးတည္ျငိမ္ေသာ။
grave	n\nအသံေလးေလးထြက္ရန္သရအကၡရာေပၚတင္ျပေသာဲသေကၤတ။
gravedigger	n\nစ႑ာလ။
gravel	n\nေက်ာက္စရစ္။
gravelled	adj\nေက်ာက္စရစ္ခင္းထားေသာ။
gravelly	adj\nေက်ာက္စရစ္ေပါေသာ။ ရွတတႏွင့္ဩေသာအသံ။
gravely	adv\nစိုးရိမ္ဖြယ္။ေလးနက္စြာ။ေလးေဆးတည္ျငိမ္စြာ။
graver	adj[com]\nပို၍ေက်းဇူးသိတတ္
graves	n[pl]\nေလးနက္ျခင္းမ်ား
gravest	adj[sup]\nေက်းဇူးသိတတ္ဆံုး
gravestone	n\nအုတ္ဂူေက်ာက္တိုင္။
graveyard	n\nသခ်ၤဳ ိင္း။သုသာန္။တစျပင္။
gravitation	n\nဆဲြငင္အား။
gravitational	adj\nဆဲြငင္အားရိွေသာ။
gravity	n\nကမာၻေျမထု၏ဆဲြငင္အား။ ၾကီးေလးမႈ။ေလးနက္မႈ။ဣေျႏၵသိကၡာ။ေလးနက္မႈ။
gravy	n\nဟင္းအႏွစ္။ အေခ်ာင္ရေသာေငြ။
gravy train	n\nအေခ်ာင္ေငြရေပါက္။
gravy-boat	n\nဟင္းအႏွစ္လိုက္ခြက္။
graybeard	n\nအသက္ၾကီးရင့္သူ။
graze	v\nပြန္းေစသည္။ ပြတ္သည္။ရွပ္သည္။
graze	n\nပြန္းသည့္ဒဏ္ရာ။
grazier	n\nႏြား၊ကြ်ဲ၊ဆိတ္စသည္ေမြးသူ။
grazing	n\nကြ်ဲႏြားစာျမက္။ စားက်က္ေျမတြင္လႊတ္ထားျခင္း။ စားက်က္ေျမစီမံမႈ။
grease	n\nအမဲဆီ။ေခ်ာဆီ။ဆီ။ဝက္ဆီစသည့္ တိရစာၦန္အဆီ။
grease	v\nဆီသုတ္သည္။
grease-gun	n\nအမဲဆီထိုးျပြတ္။
greasepaint	n\nမိတ္ကပ္။
greaseproof paper	n\nဆီစိမ္စကၠူ။
greasy	adj\nဆေပက်ံေနေသာ။က်ိခြ်ေသာ။ေခ်ာက်ိက်ိျဖစ္ေနေသာ။သာမန္ထက္အဆီထြက္ေသာ။ဆီမ်ားေသာ။ မသတီစရာဟန္ေဆာင္ေသာ။
greasy spoon	n\nေဈးေပါ၍ညစ္ပတ္ေပေရေနေသာစားေသာက္ဆိုင္။
great	adj\nေဆြမ်ိဳးအစဉ္အဆက္ျပေရွ႕တြင္တစ္ဆက္ပို၍ေရွးျခင္း၊ေႏွာင္းျခင္းျပေသာစကား။ အံ့ဩျခင္းျပအာေမၮိတ္စကား။ မဟာ။
great	n\nထူးခြ်န္ေသာပုဂၢိဳလ္။လူကံုထံေၾကးရတတ္။
Great Britain	n\nအဂၤလန္၊ေဝလနယ္ႏွင့္စေကာ႔တလန္။
Great Dane	n\nေမြးတိုေခြးအၾကီးစားမ်ိဳး။
greatcoat	n\nအမ်ားအားျဖင့္စစ္ဝတ္ကုတ္အက်ၤီထူထူရွည္ရွည္။
greater	adj[com]\nပို၍ၾကီးမား
greatest	adj[sup]\nအၾကီးမားဆံုး
greatly	adv\nၾကီးမားစြာ
greatness	n\nနာမည္၊ဂုဏ္သတင္းစသည္ၾကီးျခင္း။
grebe	n\nဝမ္းဘဲႏွင့္တူေသာ္လည္းေျခေခ်ာင္းခ်င္းအေရျပားအေျမွးမစပ္ေသာငွက္။ထန္းေစ့မႈတ္ငွက္အၾကီးမ်ိဳး။
Grecian	adj\nဂရိဆန္ေသာ။
greed	n\nအစားေလာဘၾကီးမႈ။ စည္းစိမ္ဥစၥာ၊ဩဇာအာဏာစသည္ေလာဘၾကီးမႈ။
greedily	adv\nေလာဘတၾကီး။
greedy	adj\nေလာဘၾကီးေသာ။အလိုၾကီးေသာ။
Greek	adj\nဂရိဘာသာ၊လူမ်ိဳး၊ႏိုင္ငံဆိုင္ရာ။
Greek	n\nဂရိႏိုင္ငံသား။ ဂရိဘာသာစကား။
green	adj\nစိမ္းေသာ။ ျမက္၊သစ္ပင္မ်ားဖံုးေသာ။ မမွည့္ေသာ။စိမ္းေသာ။ အေတြ႔အၾကံဳမရိွေသာ။မရင့္က်က္ေသးေသာ။ႏုေသာ။ ျဖဴဖပ္ျဖဴေရာ္ျဖစ္ေသာ။ပ်ိဳ႕ခ်င္အန္ခ်င္ျဖစ္ေသာ။ မနာလိုဝန္တိုျဖစ္ေသာ။ လန္းဆန္းေသာ။ ပတ္ဝန္းက်င္စိမ္းလန္းစိုျပည္ေရးကိုဦးတည္ေသာ။
green	v\nစိမ္းသည္။စိမ္းလန္းသည္။ ပတ္ဝန္းက်င္စိမ္းလန္းစိုျပည္ေရးကိုဦးတည္သည္။
green	n\nအစိမ္းေရာင္။ အစိမ္းေရာင္အဝတ္အထည္။ ျမက္ခင္းျပင္။ ျမက္ခင္းဗလီကြက္။ ဟင္းသီးဟင္းရြက္စိမ္းမ်ား။ ပတ္ဝန္းက်င္စိမ္းလန္းစိုျပည္ေရးႏိုင္ငံေရးပါတီဝင္။
green belt	n\nျမိဳ႕ပတ္လည္တြင္ေဆာက္လုပ္ေရးတားျမစ္ထားေသာေျမလြတ္။
green fingers	n\nသစ္ပင္စိုက္ရာတြင္လက္ဆိပ္ရိွျခင္း။
green light	n\nမီးစိမ္း။
green manure	n\nသစ္စိမ္းေျမဩဇာ။
Green Paper	n\nျဗိတိန္တြင္အေထြေထြေဆြးေႏြးရန္အစိုးရကတင္ျပေသာအၾကိဳအၾကံျပဳခ်က္မ်ား။
green salad	n\nဟင္းသီးဟင္းရြက္အစိမ္း၊အထူးသျဖင့္ဆလတ္ရြက္ျဖင့္ျပဳလုပ္ေသာအသုပ္။
